Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,52 week low ratio,52 week high ratio
110.77,22.11,1.5682175,3.11,10104814319.0,831200000.0,1.5206499,8.83,1.1164575246005237,0.7084138304595108
27.5,305.56,2.4991322,-0.31,32995712852.0,285000000.0,1.9390045,2.25,2.099272727272727,1.0192727272727273
38.44,20.56,1.0170354,0.85,13767688518.0,1317000000.0,1.5696399,3.62,1.1248699271592093,0.9261186264308013
29.74,16.34,1.536,1.55,321478200969.0,0.0,3.2011874,1.24,1.0985205110961669,0.7420981842636181
62.56,25.12,0.97635394,1.29,35713732553.0,1832000000.0,3.4394414,3.77,1.160166240409207,0.769661125319693
51.07,16.26,2.4526198,2.74,42087562920.0,0.0,3.4552107,1.55,1.0963383591149403,0.8061484237321324
211.44,22.28,1.3518385,4.65,50910180308.0,1537000000.0,5.6912947,3.98,1.174748391978812,0.830779417328793
191.42,30.43,0.0,9.76,261401203633.0,0.0,1.4328232,1.58,1.1368718002298612,0.8407167485111274
68.79,19.22,1.9085041,3.81,20831186176.0,2555000000.0,0.76715523,4.79,1.1424625672336095,0.6057566506759703
311.79,14.3,0.0,11.94,69157726427.0,6511400000.0,5.737439,5.51,1.1885243272715609,0.7834760576028736
509.38,22.49,2.1643558,30.3,85907759858.0,5684000000.0,6.9158196,2.95,1.1671443715889904,0.7224468962267855
25.19,12.29,3.7296038,1.92,5381433872.0,894754000.0,2.0188456,205.41,1.2624057165541882,0.7880111155220326
329.66,27.29,1.9648397,13.47,205617405233.0,12476000000.0,2.1560605,182.86,1.096432688224231,0.4965418916459382
51.94,14.15,1.2363636,0.55,11596117445.0,867900000.0,1.5831376,2.89,1.1209087408548326,0.7227570273392376
112.09,18.05,2.7744062,2.93,17799878487.0,1546846000.0,6.839459,3.15,1.2501561245427781,0.9980372914622179
25.2,20.0,0.0,0.07,36142506007.0,1726000000.0,4.055685,4.78,1.1876984126984127,0.9242063492063493
55.44,22.63,0.0,-24.62,7066613254.0,0.0,1.4188358,0.51,1.352813852813853,0.951497113997114
62.69,20.83,2.5546863,2.65,102506501960.0,5170000000.0,6.503231,6.75,1.0543946402935076,0.8154410591800925
229.57,15.94,2.9488583,4.01,92791974933.0,7016000000.0,6.961893,4.4,1.2444134686587969,0.8825630526636756
63.33,37.04,1.1216964,1.7,5498033502.0,1139000000.0,1.8411398,12.36,1.103786515079741,0.7171166903521238
90.47,26.0,1.987685,3.57,12932483889.0,868096000.0,0.85282737,9.31,1.107328396153421,0.7008953244169338
32.66,14.32,3.0,1.85,14175422936.0,1613000000.0,3.3742425,2.44,1.1194121249234539,0.932333129210043
23.01,60.55,1.0269576,-0.92,10808821635.0,404951000.0,8.636729,4.21,1.2850934376358105,0.9300304215558451
36.82,34.09,0.0,0.74,10890625200.0,455607000.0,5.751737,10.98,1.249321021184139,0.7878870179250408
44.83,14.84,3.125,2.89,13467193376.0,1683000000.0,2.3898203,7.91,1.4327459290653581,0.9703323667187151
91.8,11.85,1.6306564,3.45,47637260000.0,0.0,1.5931405,0.94,1.1601307189542485,0.8284313725490196
66.63,12.29,2.8394227,4.04,20493281175.0,1913000000.0,0.21131156,3.03,1.2739006453549453,0.820351193156236
64.34,19.44,0.0,3.97,11827453706.0,1339628000.0,0.6913859,3.55,1.2067143301212309,0.843798570096363
66.76,17.48,2.6041667,3.58,49180044050.0,4711000000.0,2.8147783,2.0,1.0889754343918514,0.8201018573996405
145.99,21.22,2.0215108,1.26,91822049046.0,8136000000.0,2.0468428,5.75,1.18665662031646,0.6188095075005137
111.15,35.06,0.9426963,2.27,12998295607.0,488406000.0,8.249042,5.15,1.2464237516869094,0.6905083220872694
41.92,15.82,0.0,1.69,14440591731.0,1652961000.0,1.4622321,3.74,1.1116412213740459,0.7259064885496183
51.8,12.05,1.3473054,2.81,20431395736.0,2841000000.0,2.1055017,6.91,1.3531853281853283,1.0183397683397684
91.02,13.27,0.0,3.58,74921079154.0,5233000000.0,5.830071,7.49,1.616897385190068,1.0201054713249835
100.36,19.12,0.0,3.23,18012494506.0,2063000000.0,0.5028663,2.58,1.12016739736947,0.6479673176564369
25.85,19.73,4.2109256,1.0,11362043297.0,2337000000.0,1.6262617,3.21,1.1779497098646035,0.9868471953578336
16.2,8.35,12.661196,1.16,18237196861.0,5577000000.0,1.4795984,1.39,1.704320987654321,0.8124074074074075
61.22,27.09,0.0,1.84,21101697598.0,1523440000.0,5.5560412,4.62,1.206468474354786,0.8373358379614505
37.46,-59.46,3.0395136,-1.2,9209106695.0,711000000.0,3.0044448,2.81,1.174052322477309,0.6684463427656167
48.9,29.82,0.76878726,1.61,69750188843.0,0.0,7.949615,4.51,1.1503067484662577,0.7599182004089979
348.65,162.92,0.0,34.08,86708878113.0,14694000000.0,2.1208634,2.27,1.1726086332998709,0.8842678904345332
2.82,4.7,0.0,-6.44,2626102121.0,1470000000.0,0.40765184,1.84,2.3368794326241136,0.9929078014184397
112.3,27.52,3.885853,4.85,218978820159.0,28877000000.0,1.6489863,1.71,1.1921638468388245,0.9131789848619768
266.01,45.86,0.0,0.8,7685283970.0,401293000.0,2.5523853,6.11,1.8758693282207437,0.988684635915943
140.39,17.5,1.9251627,8.2,68424670566.0,0.0,2.0985637,1.35,1.1218747774057982,0.9272027922216682
47.38,24.42,1.8366054,2.92,11838963451.0,868000000.0,3.1682448,6.28,1.1435183621781342,0.9119881806669481
189.27,18.11,0.020466639,7.2,47680910480.0,0.0,1.550762,3.39,1.2000317007449675,0.7498811222063718
100.19,26.37,0.30214334,-4.64,10089082025.0,1061056000.0,7.556446,4.28,1.3605150214592274,0.8932029144625212
70.34,27.48,2.918904,3.55,11916533018.0,0.0,2.756679,1.6,1.1654819448393516,0.9701450099516632
149.32,32.75,1.0344827,4.38,16676145923.0,1097295000.0,2.7614057,6.53,1.1382266273774446,0.7620546477364051
38.77,17.87,2.8755577,1.91,199425716482.0,15447000000.0,5.484418,3.07,1.1085891152953313,0.7830797007995872
71.87,13.48,1.7068943,-3.1,192709302000.0,0.0,2.1857586,0.9,1.122860720745791,0.7811326005287323
42.19,16.04,1.9625335,3.27,22008050974.0,0.0,3.3917346,1.08,1.1431618867030102,0.7468594453662006
84.53,20.37,0.0,-0.24,13199167493.0,810268000.0,4.7538714,6.73,1.1238613509996451,0.8675570803265112
153.04,32.15,3.6828613,11.94,54423298745.0,2851800000.0,14.881806,2.51,1.0650810245687403,0.7502456874019865
41.77,21.42,3.3918407,1.99,11873960824.0,2099000000.0,2.4711676,2.65,1.217380895379459,0.9832415609288963
43.1,22.8,3.3213644,1.49,189855335601.0,8589000000.0,6.822138,8.65,1.1279582366589327,0.9331786542923434
75.16,22.44,1.0454783,2.54,45119684067.0,2946000000.0,3.9678397,3.94,1.0548163916977116,0.7285790313996807
68.95,24.02,2.2801766,2.28,61616643498.0,4064000000.0,4.000737,236.42,1.12994923857868,0.9609862218999276
38.19,18.54,1.8929017,4.74,186476996883.0,28675000000.0,2.1797748,2.65,1.1521340665095576,0.9107096098455094
89.18,18.89,1.2823253,4.13,16274969256.0,0.0,4.905472,1.96,1.1009194886745908,0.71809822830231
